YCSB Client 0.1
Command line: -db com.yahoo.ycsb.db.HBaseClient -P /root/ycsb/config/hbase.conf -P /root/ycsb/config/workload-ycsb-thomas -P /root/ycsb/config/workload-ycsb-thomas-continuous -s -target 600 -threads 50 -p eventFile=/root/ycsb/config/hbase/hbase-event-vmhb3-kill.xml -t
 0 sec: 0 operations; 
[UPDATE], 119000, 274283.5268817204
[UPDATE], 120000, 157361.39534883722
[UPDATE], 121000, 37663.833333333336
[UPDATE], 122000, 1023944.4782608695
[UPDATE], 123000, 45398.86448598131
[UPDATE], 124000, 40308.49553571428
[UPDATE], 125000, 24504.872282608696
[UPDATE], 126000, 24390.878706199463
[UPDATE], 127000, 24006.707571801566
[UPDATE], 128000, 15479.314917127072
[UPDATE], 129000, 10506.251968503937
[UPDATE], 130000, 33255.61379310345
[UPDATE], 131000, 56072.443478260866
[UPDATE], 132000, 11694.746835443038
[UPDATE], 133000, 153728.62295081967
[UPDATE], 134000, 21832.873786407767
[UPDATE], 135000, 13088.414414414414
[UPDATE], 136000, 303877.25
[UPDATE], 138000, 233895.6540880503
[UPDATE], 139000, 23125.744680851065
[UPDATE], 140000, 6473.757281553398
[UPDATE], 141000, 11419.433333333332
[UPDATE], 142000, 13432.705263157895
[UPDATE], 143000, 11591.585714285715
[UPDATE], 144000, 8008.038167938931
[UPDATE], 145000, 13499.442622950819
[UPDATE], 146000, 9425.32558139535
[UPDATE], 147000, 9540.978571428572
[UPDATE], 148000, 9315.661290322581
[UPDATE], 149000, 10454.830188679245
[UPDATE], 150000, 15569.895161290322
[UPDATE], 151000, 8838.60162601626
[UPDATE], 152000, 15920.751879699248
[UPDATE], 153000, 9603.166666666666
[UPDATE], 154000, 7298.0344827586205
[UPDATE], 155000, 8882.990384615385
[UPDATE], 156000, 12054.868852459016
[UPDATE], 157000, 6390.752136752137
[UPDATE], 158000, 9271.389830508475
[UPDATE], 159000, 8926.454545454546
[UPDATE], 160000, 18181.9
[UPDATE], 161000, 7813.492957746479
[UPDATE], 162000, 17771.9765625
[UPDATE], 163000, 9151.934959349594
[UPDATE], 164000, 13352.031578947368
[UPDATE], 165000, 12109.813559322034
[UPDATE], 166000, 7854.948529411765
[UPDATE], 167000, 10168.504347826087
[UPDATE], 168000, 59643.14388489209
[UPDATE], 169000, 9796.801886792453
[UPDATE], 170000, 9131.368
[UPDATE], 171000, 8780.901408450703
[UPDATE], 172000, 14620.842105263158
[UPDATE], 173000, 9815.345132743363
[UPDATE], 174000, 10442.301886792453
[UPDATE], 175000, 37811.553956834534
[UPDATE], 176000, 7562.19298245614
[UPDATE], 177000, 8838.68
[UPDATE], 178000, 8090.0485436893205
[UPDATE], 179000, 7555.221374045802
[UPDATE], 180000, 9734.652892561984
[UPDATE], 181000, 8730.242424242424
[UPDATE], 182000, 8532.064220183487
[UPDATE], 183000, 10956.056910569107
[UPDATE], 184000, 8074.023622047244
[UPDATE], 185000, 11705.288
[UPDATE], 186000, 9194.272727272728
[UPDATE], 187000, 8662.33962264151
[UPDATE], 188000, 8137.19696969697
[UPDATE], 189000, 8041.052173913044
[UPDATE], 190000, 14782.964601769912
[UPDATE], 191000, 8198.166666666666
[UPDATE], 192000, 8178.275229357798
[UPDATE], 193000, 8896.543689320388
[UPDATE], 194000, 10345.660869565218
[UPDATE], 195000, 10544.56880733945
[UPDATE], 196000, 8926.20168067227
[UPDATE], 197000, 15553.255474452555
[UPDATE], 198000, 9302.31313131313
[UPDATE], 199000, 10824.944
[UPDATE], 200000, 10579.496
[UPDATE], 201000, 9720.955357142857
[UPDATE], 202000, 9006.175
[UPDATE], 203000, 9702.62
[UPDATE], 204000, 8059.284552845528
[UPDATE], 205000, 17012.541353383458
[UPDATE], 206000, 8913.872340425532
[UPDATE], 207000, 8481.731092436974
[UPDATE], 208000, 10264.982608695653
[UPDATE], 209000, 7394.360655737705
[UPDATE], 210000, 9052.821138211382
[UPDATE], 211000, 8582.844444444445
[UPDATE], 212000, 7666.201550387597
[UPDATE], 213000, 8087.007633587787
[UPDATE], 214000, 7768.901785714285
[UPDATE], 215000, 7780.212962962963
[UPDATE], 216000, 7783.475409836065
[UPDATE], 217000, 10970.9921875
[UPDATE], 218000, 12672.546875
[UPDATE], 219000, 8148.226086956522
[UPDATE], 220000, 15557.132743362832
[UPDATE], 221000, 10328.90322580645
[UPDATE], 222000, 9996.653594771242
[UPDATE], 223000, 9012.117647058823
[UPDATE], 224000, 21443.428571428572
[UPDATE], 225000, 10496.66386554622
[UPDATE], 226000, 9277.824074074075
[UPDATE], 227000, 11360.672
[UPDATE], 228000, 9133.138211382115
[UPDATE], 229000, 11559.555555555555
[UPDATE], 230000, 7881.2
[UPDATE], 231000, 9861.947826086956
[UPDATE], 232000, 8865.925925925925
[UPDATE], 233000, 9892.982905982906
[UPDATE], 234000, 9126.131147540984
[UPDATE], 235000, 9518.030769230769
[UPDATE], 236000, 7597.981818181818
[UPDATE], 237000, 9270.404958677685
[UPDATE], 238000, 9755.333333333334
[UPDATE], 239000, 8828.869565217392
[UPDATE], 240000, 8754.842105263158
[UPDATE], 241000, 7599.888888888889
[UPDATE], 242000, 8608.243243243243
[UPDATE], 243000, 6800.304761904762
[UPDATE], 244000, 9336.24060150376
[UPDATE], 245000, 9536.359375
[UPDATE], 246000, 9126.982300884956
[UPDATE], 247000, 8264.612903225807
[UPDATE], 248000, 9188.63768115942
[UPDATE], 249000, 10100.706896551725
[UPDATE], 250000, 10609.248062015504
[UPDATE], 251000, 11099.283018867925
[UPDATE], 252000, 9372.436507936507
[UPDATE], 253000, 9217.495575221239
[UPDATE], 254000, 24606.4358974359
[UPDATE], 255000, 9330.321739130435
[UPDATE], 256000, 18772.780487804877
[UPDATE], 257000, 10154.9140625
[UPDATE], 258000, 8231.031496062993
[UPDATE], 259000, 8992.27
[UPDATE], 260000, 19819.810606060608
[UPDATE], 261000, 7390.12037037037
[UPDATE], 262000, 11076.0
[UPDATE], 263000, 9044.984
[UPDATE], 264000, 12889.87610619469
[UPDATE], 265000, 8983.173553719009
[UPDATE], 266000, 7680.77570093458
[UPDATE], 267000, 16962.31304347826
[UPDATE], 268000, 9381.732673267326
[UPDATE], 269000, 9135.714285714286
[UPDATE], 270000, 8947.065040650406
[UPDATE], 271000, 10245.0625
