YCSB Client 0.1
Command line: -db com.yahoo.ycsb.db.HBaseClient -P /root/ycsb/config/hbase.conf -P /root/ycsb/config/workload-ycsb-thomas -P /root/ycsb/config/workload-ycsb-thomas-continuous -s -threads 50 -target 600 -p eventFile=/root/ycsb/config/hbase/hbase-event-vmhb3-drop.xml -t
 0 sec: 0 operations; 
[UPDATE], 210000, 8834.719696969696
[UPDATE], 211000, 8726.948148148149
[UPDATE], 212000, 17834.70535714286
[UPDATE], 213000, 7584.922330097087
[UPDATE], 214000, 8278.90909090909
[UPDATE], 215000, 7174.473214285715
[UPDATE], 216000, 7261.585365853659
[UPDATE], 217000, 9335.514925373134
[UPDATE], 218000, 9276.253968253968
[UPDATE], 219000, 9607.633027522936
[UPDATE], 220000, 18767.782608695652
[UPDATE], 221000, 7540.385185185185
[UPDATE], 222000, 7857.612068965517
[UPDATE], 223000, 12449.442477876106
[UPDATE], 224000, 19842.894736842107
[UPDATE], 225000, 6966.645669291339
[UPDATE], 226000, 8511.053846153845
[UPDATE], 227000, 8220.693548387097
[UPDATE], 228000, 8322.283333333333
[UPDATE], 229000, 8513.975609756097
[UPDATE], 230000, 14388.252173913044
[UPDATE], 231000, 7024.7307692307695
[UPDATE], 232000, 7869.901639344263
[UPDATE], 233000, 8245.922413793103
[UPDATE], 234000, 8351.0
[UPDATE], 235000, 8916.021582733812
[UPDATE], 236000, 7874.230088495575
[UPDATE], 237000, 7879.078260869565
[UPDATE], 238000, 9552.871559633028
[UPDATE], 239000, 8434.833333333334
[UPDATE], 240000, 8200.35576923077
[UPDATE], 241000, 7455.824427480916
[UPDATE], 242000, 17466.765151515152
[UPDATE], 243000, 8774.446153846155
[UPDATE], 244000, 7916.4296875
[UPDATE], 245000, 7908.828125
[UPDATE], 246000, 10331.950980392157
[UPDATE], 247000, 18970.14285714286
[UPDATE], 248000, 8898.015267175573
[UPDATE], 249000, 8571.529850746268
[UPDATE], 250000, 12194.653846153846
[UPDATE], 251000, 8440.656
[UPDATE], 252000, 7571.040322580645
[UPDATE], 253000, 7640.607692307693
[UPDATE], 254000, 9154.503816793893
[UPDATE], 255000, 20466.682926829268
[UPDATE], 256000, 8836.617886178861
[UPDATE], 257000, 9746.944881889764
[UPDATE], 258000, 8745.495798319327
[UPDATE], 259000, 7273.7008547008545
[UPDATE], 260000, 10753.066666666668
[UPDATE], 261000, 7836.798507462687
[UPDATE], 262000, 6920.252100840336
[UPDATE], 263000, 8208.230088495575
[UPDATE], 264000, 22215.0390625
[UPDATE], 265000, 11066.628318584071
[UPDATE], 266000, 7203.801526717557
[UPDATE], 267000, 10192.010989010989
[UPDATE], 268000, 8236.594405594406
[UPDATE], 269000, 8506.824074074075
[UPDATE], 270000, 8119.943089430894
[UPDATE], 271000, 8462.889830508475
[UPDATE], 272000, 8428.888888888889
[UPDATE], 273000, 9490.30357142857
[UPDATE], 274000, 8023.0161290322585
[UPDATE], 275000, 7561.474747474747
[UPDATE], 276000, 13013.0078125
[UPDATE], 277000, 37555.669421487604
[UPDATE], 278000, 12931.277777777777
[UPDATE], 279000, 9275.574803149606
[UPDATE], 280000, 7555.466101694915
[UPDATE], 281000, 7444.313432835821
[UPDATE], 282000, 7276.637168141593
[UPDATE], 283000, 7121.458646616541
[UPDATE], 284000, 7703.322033898305
[UPDATE], 285000, 12602.782178217822
[UPDATE], 286000, 10338.155737704918
[UPDATE], 287000, 7511.359375
[UPDATE], 288000, 9164.184210526315
[UPDATE], 289000, 8186.841121495327
[UPDATE], 290000, 10578.530769230769
[UPDATE], 291000, 5988.325
[UPDATE], 292000, 7768.733333333334
[UPDATE], 293000, 8637.958333333334
[UPDATE], 294000, 8596.106666666667
[UPDATE], 295000, 10085.898550724638
[UPDATE], 296000, 7890.767241379311
[UPDATE], 297000, 8454.130081300813
[UPDATE], 298000, 7850.566037735849
[UPDATE], 299000, 11638.866141732284
[UPDATE], 300000, 36466.5
[UPDATE], 370000, 4.093414875E7
[UPDATE], 421000, 4192458.6551724137
[UPDATE], 422000, 867764.6783216783
[UPDATE], 423000, 11425.152777777777
[UPDATE], 424000, 11142.520231213874
[UPDATE], 425000, 11148.055555555555
[UPDATE], 426000, 11849.355670103092
[UPDATE], 427000, 10268.245989304813
[UPDATE], 428000, 10346.521739130434
[UPDATE], 429000, 10316.88392857143
[UPDATE], 430000, 11454.079096045198
[UPDATE], 431000, 10385.094240837696
[UPDATE], 432000, 10765.354679802957
[UPDATE], 433000, 11760.436842105262
[UPDATE], 434000, 12525.437837837839
[UPDATE], 435000, 12512.03947368421
[UPDATE], 436000, 14920.77358490566
[UPDATE], 437000, 12640.675159235669
[UPDATE], 438000, 12867.051428571429
[UPDATE], 439000, 11476.468354430379
[UPDATE], 440000, 7851.580645161291
[UPDATE], 441000, 8517.565217391304
[UPDATE], 442000, 8894.391304347826
[UPDATE], 443000, 10169.238095238095
[UPDATE], 444000, 9842.04
[UPDATE], 445000, 9880.75
[UPDATE], 446000, 10447.703703703704
[UPDATE], 447000, 10128.652173913044
[UPDATE], 448000, 7012.25
[UPDATE], 449000, 7161.130434782609
[UPDATE], 450000, 5384.523809523809
[UPDATE], 451000, 5102.8
[UPDATE], 452000, 9527.923076923076
[UPDATE], 453000, 9999.791666666666
[UPDATE], 454000, 7801.481481481482
[UPDATE], 455000, 9471.032258064517
[UPDATE], 456000, 58296.625
[UPDATE], 457000, 5652.285714285715
[UPDATE], 458000, 7129.695652173913
[UPDATE], 459000, 11201.709677419354
[UPDATE], 460000, 9577.766666666666
[UPDATE], 461000, 4210.521739130435
[UPDATE], 462000, 5450.0
[UPDATE], 463000, 9657.904761904761
[UPDATE], 464000, 7136.28
[UPDATE], 465000, 9937.8
[UPDATE], 466000, 12204.4
[UPDATE], 467000, 5256.0344827586205
[UPDATE], 468000, 8727.52380952381
[UPDATE], 469000, 12966.047619047618
[UPDATE], 470000, 5198.32
[UPDATE], 471000, 5203.833333333333
[UPDATE], 472000, 4689.0
[UPDATE], 473000, 7994.64705882353
[UPDATE], 474000, 8164.521739130435
[UPDATE], 475000, 7633.620689655172
[UPDATE], 476000, 9127.8125
[UPDATE], 477000, 5022.310344827586
[UPDATE], 478000, 13211.916666666666
[UPDATE], 479000, 10179.416666666666
[UPDATE], 480000, 18071.555555555555
[UPDATE], 481000, 5855587.085972851
[UPDATE], 482000, 429925.95444191346
[UPDATE], 483000, 19986.18761061947
[UPDATE], 484000, 11368.77793493635
[UPDATE], 485000, 8622.390572390572
[UPDATE], 486000, 10523.7537826685
[UPDATE], 487000, 10609.048648648648
[UPDATE], 488000, 14026.407718120805
[UPDATE], 489000, 12161.319213313162
[UPDATE], 490000, 10352.610714285714
[UPDATE], 491000, 17763.289827255277
[UPDATE], 492000, 14562.50668896321
[UPDATE], 493000, 14630.116751269035
[UPDATE], 494000, 13678.236842105263
[UPDATE], 495000, 12038.291925465839
[UPDATE], 496000, 10993.765319426337
[UPDATE], 497000, 10609.05974025974
[UPDATE], 498000, 20433.751984126986
[UPDATE], 499000, 13878.5
[UPDATE], 500000, 12583.67857142857
[UPDATE], 501000, 12344.402130492677
[UPDATE], 502000, 14443.638983050847
[UPDATE], 503000, 22032.97018348624
[UPDATE], 504000, 15620.423853211008
[UPDATE], 505000, 12120.083841463415
[UPDATE], 506000, 14128.687697160884
[UPDATE], 507000, 12254.66902404526
[UPDATE], 508000, 13770.617283950618
[UPDATE], 509000, 11998.435714285713
[UPDATE], 510000, 12147.891207153501
[UPDATE], 511000, 16984.880819366852
[UPDATE], 512000, 13678.720190779015
[UPDATE], 513000, 32794.37195121951
[UPDATE], 514000, 11931.970992366412
[UPDATE], 515000, 9126.649438202247
[UPDATE], 516000, 38718.1914893617
[UPDATE], 517000, 8172.978260869565
[UPDATE], 518000, 9157.81308411215
[UPDATE], 519000, 9248.757575757576
