YCSB Client 0.1
Command line: -db com.yahoo.ycsb.db.HBaseClient -P /root/ycsb/config/hbase.conf -P /root/ycsb/config/workload-ycsb-thomas -P /root/ycsb/config/workload-ycsb-thomas-continuous -threads 50 -s -target 600 -p eventFile=/root/ycsb/config/hbase/hbase-event-vmhb2.xml -t
 0 sec: 0 operations; 
[UPDATE], 73000, 7789.116071428572
[UPDATE], 74000, 9321.85401459854
[UPDATE], 75000, 6863.191666666667
[UPDATE], 76000, 9704.007407407407
[UPDATE], 77000, 8133.576923076923
[UPDATE], 78000, 7838.838235294118
[UPDATE], 79000, 13915.633663366336
[UPDATE], 80000, 7535.535433070866
[UPDATE], 81000, 7206.458333333333
[UPDATE], 82000, 7493.055118110236
[UPDATE], 83000, 7039.151260504202
[UPDATE], 84000, 11229.758333333333
[UPDATE], 85000, 9187.126865671642
[UPDATE], 86000, 8351.48275862069
[UPDATE], 87000, 8760.19642857143
[UPDATE], 88000, 6788.104477611941
[UPDATE], 89000, 11120.26724137931
[UPDATE], 90000, 18071.727272727272
[UPDATE], 91000, 14322.274336283186
[UPDATE], 92000, 10426.931034482759
[UPDATE], 93000, 7351.61
[UPDATE], 94000, 8222.560344827587
[UPDATE], 95000, 6608.740157480315
[UPDATE], 96000, 6551.807339449541
[UPDATE], 97000, 7132.196428571428
[UPDATE], 98000, 5728.9473684210525
[UPDATE], 99000, 7627.211538461538
[UPDATE], 100000, 8548.90756302521
[UPDATE], 101000, 7545.129032258064
[UPDATE], 102000, 8988.575221238938
[UPDATE], 103000, 6557.919354838709
[UPDATE], 104000, 7301.535353535353
[UPDATE], 105000, 10050.258333333333
[UPDATE], 106000, 8009.431034482759
[UPDATE], 107000, 7714.922413793103
[UPDATE], 108000, 6620.577181208054
[UPDATE], 109000, 7508.937984496124
[UPDATE], 110000, 6221.669565217391
[UPDATE], 111000, 7868.656565656565
[UPDATE], 112000, 6979.018691588785
[UPDATE], 113000, 8239.850877192983
[UPDATE], 114000, 8301.388059701492
[UPDATE], 115000, 8519.256
[UPDATE], 116000, 6555.274336283186
[UPDATE], 117000, 11810.59633027523
[UPDATE], 118000, 8976.153846153846
[UPDATE], 119000, 9787.52380952381
[UPDATE], 120000, 8268.043103448275
[UPDATE], 121000, 22034.2389380531
[UPDATE], 122000, 10017.40650406504
[UPDATE], 123000, 6599.113043478261
[UPDATE], 124000, 16647.0625
[UPDATE], 125000, 15089.113636363636
[UPDATE], 126000, 9230.621212121212
[UPDATE], 127000, 6965.008130081301
[UPDATE], 128000, 7004.875862068966
[UPDATE], 129000, 8154.491803278688
[UPDATE], 130000, 7843.056
[UPDATE], 131000, 7684.775
[UPDATE], 132000, 9536.0703125
[UPDATE], 133000, 7534.9320388349515
[UPDATE], 134000, 7125.009523809524
[UPDATE], 135000, 7894.830645161291
[UPDATE], 136000, 8083.565573770492
[UPDATE], 137000, 8745.801587301587
[UPDATE], 138000, 9691.754385964912
[UPDATE], 139000, 7041.386861313868
[UPDATE], 140000, 6824.736
[UPDATE], 141000, 8759.899280575539
[UPDATE], 142000, 7472.327868852459
[UPDATE], 143000, 5778.325203252032
[UPDATE], 144000, 7862.682242990654
[UPDATE], 145000, 6652.274809160305
[UPDATE], 146000, 8752.165289256198
[UPDATE], 147000, 9330.140625
[UPDATE], 148000, 7612.837209302325
[UPDATE], 149000, 18862.19266055046
[UPDATE], 150000, 7032.1596638655465
[UPDATE], 151000, 65303.5641025641
[UPDATE], 152000, 16099.514492753624
[UPDATE], 153000, 7293.162601626016
[UPDATE], 154000, 9039.016129032258
[UPDATE], 155000, 7300.51282051282
[UPDATE], 156000, 7536.192
[UPDATE], 157000, 9631.30303030303
[UPDATE], 158000, 6523.495726495727
[UPDATE], 159000, 8061.637168141593
[UPDATE], 160000, 7791.073170731707
[UPDATE], 161000, 8010.375
[UPDATE], 162000, 5378.436974789916
[UPDATE], 163000, 8269.549549549549
[UPDATE], 164000, 6547.439252336449
[UPDATE], 165000, 7487.537735849057
[UPDATE], 166000, 5322.683823529412
[UPDATE], 167000, 5792.360294117647
[UPDATE], 168000, 6985.694656488549
[UPDATE], 169000, 8155.610294117647
[UPDATE], 170000, 8657.347826086956
[UPDATE], 171000, 5340.27027027027
[UPDATE], 172000, 6069.733944954129
[UPDATE], 173000, 6992.518518518518
[UPDATE], 174000, 7148.916666666667
[UPDATE], 175000, 7227.896
[UPDATE], 176000, 7930.560747663551
[UPDATE], 177000, 6759.176470588235
[UPDATE], 178000, 18217.741379310344
[UPDATE], 179000, 9298.48275862069
[UPDATE], 180000, 7367.641666666666
[UPDATE], 181000, 37546.5593220339
[UPDATE], 182000, 7453.09756097561
[UPDATE], 183000, 10358.037593984962
[UPDATE], 184000, 6890.267326732674
[UPDATE], 185000, 42628.91463414634
[UPDATE], 186000, 8801.992647058823
[UPDATE], 187000, 7883.883333333333
[UPDATE], 188000, 11443.155172413793
[UPDATE], 189000, 7376.81746031746
[UPDATE], 190000, 8317.418604651162
[UPDATE], 191000, 7567.958620689656
[UPDATE], 192000, 6833.530434782609
[UPDATE], 193000, 8928.971962616823
[UPDATE], 194000, 6617.5
[UPDATE], 195000, 9749.464285714286
[UPDATE], 196000, 8628.803418803418
[UPDATE], 197000, 7527.349593495935
[UPDATE], 198000, 6644.191304347826
[UPDATE], 199000, 8526.263636363636
[UPDATE], 200000, 8068.567796610169
[UPDATE], 201000, 9311.971428571429
[UPDATE], 202000, 6815.141666666666
[UPDATE], 203000, 9402.074626865671
[UPDATE], 204000, 6987.095652173913
[UPDATE], 205000, 7430.8448275862065
[UPDATE], 206000, 7453.146788990825
[UPDATE], 207000, 6621.119266055046
[UPDATE], 208000, 10984.675675675675
[UPDATE], 209000, 12534.019607843138
[UPDATE], 210000, 7543.939655172414
[UPDATE], 211000, 12024.0
[UPDATE], 212000, 8007.615384615385
[UPDATE], 213000, 8605.119402985074
[UPDATE], 214000, 7817.5
[UPDATE], 215000, 9203.362831858407
[UPDATE], 216000, 8475.503937007874
[UPDATE], 217000, 8367.042016806723
[UPDATE], 218000, 8434.696
[UPDATE], 219000, 8180.95575221239
[UPDATE], 220000, 8791.616666666667
[UPDATE], 221000, 7667.5
[UPDATE], 222000, 8243.291044776119
[UPDATE], 223000, 9644.947826086956
[UPDATE], 224000, 7953.740740740741
[UPDATE], 225000, 7311.877192982456
[UPDATE], 226000, 7206.595419847328
[UPDATE], 227000, 5932.515463917526
[UPDATE], 228000, 6334.254237288135
[UPDATE], 229000, 11080.69918699187
[UPDATE], 230000, 7748.575221238938
[UPDATE], 231000, 7661.103448275862
[UPDATE], 232000, 5812.706349206349
[UPDATE], 233000, 6867.5344827586205
[UPDATE], 234000, 7358.966101694915
[UPDATE], 235000, 8546.516129032258
[UPDATE], 236000, 6971.201834862385
[UPDATE], 237000, 6646.53125
[UPDATE], 238000, 8494.88990825688
[UPDATE], 239000, 8741.773913043478
[UPDATE], 240000, 7568.584
[UPDATE], 241000, 11740.940677966102
[UPDATE], 242000, 5663.792
[UPDATE], 243000, 27912.191304347827
[UPDATE], 244000, 8165.0
[UPDATE], 245000, 49271.94927536232
[UPDATE], 246000, 6498.755102040816
[UPDATE], 247000, 6768.1140350877195
[UPDATE], 248000, 15640.48
[UPDATE], 249000, 7018.327731092437
[UPDATE], 250000, 7269.848
[UPDATE], 251000, 8321.65
[UPDATE], 252000, 7951.4921875
[UPDATE], 253000, 7097.1484375
[UPDATE], 254000, 7480.607692307693
[UPDATE], 255000, 9246.530303030304
[UPDATE], 256000, 8086.6274509803925
[UPDATE], 257000, 8175.287037037037
[UPDATE], 258000, 7048.876923076923
[UPDATE], 259000, 8276.459016393443
[UPDATE], 260000, 8419.478260869566
[UPDATE], 261000, 6271.461538461538
[UPDATE], 262000, 8838.28125
[UPDATE], 263000, 8996.29365079365
[UPDATE], 264000, 7835.808695652174
[UPDATE], 265000, 8555.822429906542
[UPDATE], 266000, 7952.314516129032
[UPDATE], 267000, 6130.079365079365
[UPDATE], 268000, 7248.922413793103
[UPDATE], 269000, 8995.129032258064
[UPDATE], 270000, 12166.254901960785
[UPDATE], 271000, 30336.330769230768
[UPDATE], 272000, 7810.783783783784
[UPDATE], 273000, 11887.311926605504
[UPDATE], 274000, 7492.73949579832
[UPDATE], 275000, 9143.254545454545
[UPDATE], 276000, 8559.433070866142
[UPDATE], 277000, 6730.038461538462
[UPDATE], 278000, 7026.603773584906
[UPDATE], 279000, 6793.0
[UPDATE], 280000, 13148.953488372093
[UPDATE], 281000, 7918.429752066116
[UPDATE], 282000, 7244.7692307692305
[UPDATE], 283000, 6778.711711711711
[UPDATE], 284000, 8833.344
[UPDATE], 285000, 7865.717741935484
[UPDATE], 286000, 9410.09090909091
[UPDATE], 287000, 6986.79674796748
[UPDATE], 288000, 8218.565573770491
[UPDATE], 289000, 8120.859649122807
[UPDATE], 290000, 7298.142857142857
[UPDATE], 291000, 7231.885714285714
[UPDATE], 292000, 6282.777777777777
[UPDATE], 293000, 7715.130434782609
[UPDATE], 294000, 6883.631578947368
[UPDATE], 295000, 10195.118181818181
[UPDATE], 296000, 9482.716417910447
[UPDATE], 297000, 6727.754237288135
[UPDATE], 298000, 7726.984496124031
[UPDATE], 299000, 7170.868421052632
[UPDATE], 300000, 15602.968
[UPDATE], 301000, 11092.444444444445
[UPDATE], 562000, 5.23274772E7
[UPDATE], 601000, 8025717.36
[UPDATE], 602000, 219695.33766233767
[UPDATE], 603000, 13728.694672131147
[UPDATE], 604000, 16042.628297362111
[UPDATE], 605000, 14206.378378378378
[UPDATE], 606000, 12526.614664586583
[UPDATE], 607000, 12500.021390374332
[UPDATE], 608000, 11426.541420118343
[UPDATE], 609000, 9492.89750328515
[UPDATE], 610000, 9178.326650943396
[UPDATE], 611000, 11159.86809815951
[UPDATE], 612000, 11186.41975308642
[UPDATE], 613000, 8434.697005988024
[UPDATE], 614000, 11472.889728096678
[UPDATE], 615000, 10572.445333333333
[UPDATE], 616000, 10628.242236024846
[UPDATE], 617000, 642475.3229689067
[UPDATE], 618000, 11266.86123853211
[UPDATE], 619000, 12378.524861878454
[UPDATE], 620000, 11515.550368550368
[UPDATE], 621000, 13622.840599455041
[UPDATE], 622000, 11783.201242236024
[UPDATE], 623000, 13175.48631029987
[UPDATE], 624000, 9473.661181026138
[UPDATE], 625000, 8169.766267123287
[UPDATE], 626000, 12650.314093959732
[UPDATE], 627000, 13028.240223463687
[UPDATE], 628000, 12218.061635220125
[UPDATE], 629000, 10396.010169491525
[UPDATE], 630000, 8918.199268738574
[UPDATE], 631000, 13203.31212121212
[UPDATE], 632000, 23752.44398340249
[UPDATE], 633000, 12799.516260162602
[UPDATE], 634000, 20878.1906614786
[UPDATE], 635000, 23785.06862745098
[UPDATE], 636000, 21475.339113680155
[UPDATE], 637000, 13532.50138504155
[UPDATE], 638000, 10311.21451104101
[UPDATE], 639000, 12184.932157394844
[UPDATE], 640000, 11339.056892778994
[UPDATE], 641000, 11502.575757575758
[UPDATE], 642000, 13204.396226415094
[UPDATE], 643000, 11917.19125
[UPDATE], 644000, 13046.800802139038
[UPDATE], 645000, 13250.438775510203
[UPDATE], 646000, 14146.348251748252
[UPDATE], 647000, 15617.55098934551
[UPDATE], 648000, 14614.921282798834
[UPDATE], 649000, 13578.008658008657
[UPDATE], 650000, 11383.414928649836
[UPDATE], 651000, 15013.693165969316
[UPDATE], 652000, 14289.046616541353
[UPDATE], 653000, 12026.704670329671
[UPDATE], 654000, 8547.230207064555
[UPDATE], 655000, 7170.304068522484
[UPDATE], 656000, 8264.379052369077
[UPDATE], 657000, 8057.158536585366
[UPDATE], 658000, 7222.4125874125875
[UPDATE], 659000, 7430.489655172414
[UPDATE], 660000, 8893.194871794873
[UPDATE], 661000, 6845.41592920354
[UPDATE], 662000, 9256.837037037038
[UPDATE], 663000, 7303.990147783251
[UPDATE], 664000, 11355.450666666668
[UPDATE], 665000, 26344.31178707224
[UPDATE], 666000, 8543.8
[UPDATE], 667000, 9158.342657342657
[UPDATE], 668000, 8076.178571428572
[UPDATE], 669000, 8263.691176470587
[UPDATE], 670000, 13618.12962962963
[UPDATE], 671000, 20069.69421487603
[UPDATE], 672000, 7478.691056910569
[UPDATE], 673000, 10246.99107142857
[UPDATE], 674000, 7288.475
[UPDATE], 675000, 7310.4049586776855
[UPDATE], 676000, 9398.88188976378
[UPDATE], 677000, 66739.17977528089
[UPDATE], 678000, 10106.478260869566
[UPDATE], 679000, 13910.391666666666
[UPDATE], 680000, 17284.5703125
[UPDATE], 681000, 7915.273504273504
[UPDATE], 682000, 7581.375
[UPDATE], 683000, 8100.122641509434
[UPDATE], 684000, 7221.909090909091
[UPDATE], 685000, 6009.747826086957
[UPDATE], 686000, 9459.448275862069
[UPDATE], 687000, 7753.289256198347
[UPDATE], 688000, 6376.0888888888885
[UPDATE], 689000, 9141.108333333334
[UPDATE], 690000, 8873.899082568807
[UPDATE], 691000, 8867.889763779527
[UPDATE], 692000, 8623.982905982906
[UPDATE], 693000, 8241.68376068376
[UPDATE], 694000, 9174.466666666667
[UPDATE], 695000, 9588.371428571429
[UPDATE], 696000, 7340.112149532711
[UPDATE], 697000, 6723.38524590164
[UPDATE], 698000, 5768.027522935779
[UPDATE], 699000, 8558.834710743802
[UPDATE], 700000, 7849.873015873016
[UPDATE], 701000, 7581.173913043478
[UPDATE], 702000, 8729.847457627118
[UPDATE], 703000, 7319.04
[UPDATE], 704000, 8414.032786885246
[UPDATE], 705000, 9228.548076923076
[UPDATE], 706000, 8466.1
[UPDATE], 707000, 12539.333333333334
[UPDATE], 708000, 7296.317757009346
[UPDATE], 709000, 11925.435185185184
[UPDATE], 710000, 8574.820895522387
[UPDATE], 711000, 7148.61475409836
[UPDATE], 712000, 6559.634782608696
[UPDATE], 713000, 6542.819672131148
[UPDATE], 714000, 7126.0462962962965
[UPDATE], 715000, 11419.57264957265
[UPDATE], 716000, 7886.401709401709
[UPDATE], 717000, 7991.589743589743
[UPDATE], 718000, 7743.418032786885
[UPDATE], 719000, 9970.307692307691
[UPDATE], 720000, 7536.393700787402
[UPDATE], 721000, 8735.927419354839
[UPDATE], 722000, 8513.686956521738
[UPDATE], 723000, 7905.4639175257735
[UPDATE], 724000, 9084.35
[UPDATE], 725000, 7286.706896551724
[UPDATE], 726000, 8203.0234375
[UPDATE], 727000, 7312.787610619469
[UPDATE], 728000, 6881.2786885245905
[UPDATE], 729000, 7980.628099173554
[UPDATE], 730000, 9713.173553719009
[UPDATE], 731000, 8481.171875
[UPDATE], 732000, 9172.864077669903
[UPDATE], 733000, 7599.237704918033
[UPDATE], 734000, 8195.645454545454
[UPDATE], 735000, 7556.84375
[UPDATE], 736000, 9259.28
[UPDATE], 737000, 8181.187969924812
[UPDATE], 738000, 7014.632
[UPDATE], 739000, 8801.905172413793
[UPDATE], 740000, 9227.85
[UPDATE], 741000, 12207.145161290322
[UPDATE], 742000, 13147.395161290322
[UPDATE], 743000, 7764.1621621621625
[UPDATE], 744000, 8603.8
[UPDATE], 745000, 8719.622950819672
[UPDATE], 746000, 10224.596638655463
[UPDATE], 747000, 8220.6
[UPDATE], 748000, 10669.810344827587
[UPDATE], 749000, 8449.201550387597
[UPDATE], 750000, 6723.234782608695
[UPDATE], 751000, 10020.348214285714
[UPDATE], 752000, 7951.185840707964
[UPDATE], 753000, 9046.525862068966
[UPDATE], 754000, 7626.747572815534
[UPDATE], 755000, 7092.7307692307695
[UPDATE], 756000, 8042.84
[UPDATE], 757000, 7195.952755905511
[UPDATE], 758000, 7709.1551724137935
[UPDATE], 759000, 6990.308943089431
[UPDATE], 760000, 11948.139344262296
[UPDATE], 761000, 8189.752066115702
[UPDATE], 762000, 6316.339130434782
[UPDATE], 763000, 8738.88275862069
[UPDATE], 764000, 8848.38686131387
[UPDATE], 765000, 8060.371428571429
[UPDATE], 766000, 6215.085271317829
[UPDATE], 767000, 15366.266129032258
[UPDATE], 768000, 6494.681034482759
[UPDATE], 769000, 7704.975806451613
[UPDATE], 770000, 8571.904
[UPDATE], 771000, 7123.350427350428
[UPDATE], 772000, 18746.7734375
[UPDATE], 773000, 9535.043956043955
[UPDATE], 774000, 13149.048
[UPDATE], 775000, 9214.449152542373
[UPDATE], 776000, 9655.672727272728
[UPDATE], 777000, 6744.8899082568805
[UPDATE], 778000, 6331.5
[UPDATE], 779000, 9323.663793103447
[UPDATE], 780000, 8434.286821705426
[UPDATE], 781000, 8164.131578947368
[UPDATE], 782000, 8683.786764705883
[UPDATE], 783000, 7339.32
[UPDATE], 784000, 9972.677165354331
[UPDATE], 785000, 9163.126050420167
[UPDATE], 786000, 7675.362831858407
[UPDATE], 787000, 8962.0756302521
[UPDATE], 788000, 7913.870689655172
[UPDATE], 789000, 6803.198347107438
[UPDATE], 790000, 10044.443396226416
[UPDATE], 791000, 6962.846153846154
[UPDATE], 792000, 7433.892156862745
[UPDATE], 793000, 8740.690476190477
[UPDATE], 794000, 7448.763358778626
[UPDATE], 795000, 8100.903508771929
[UPDATE], 796000, 7696.545454545455
[UPDATE], 797000, 6721.721739130435
[UPDATE], 798000, 8962.263157894737
[UPDATE], 799000, 8234.61344537815
[UPDATE], 800000, 7199.427419354839
[UPDATE], 801000, 10790.52100840336
[UPDATE], 802000, 15750.362962962963
[UPDATE], 803000, 8935.948148148149
[UPDATE], 804000, 35440.04379562044
[UPDATE], 805000, 7191.8432835820895
[UPDATE], 806000, 7279.305785123967
[UPDATE], 807000, 7047.9473684210525
[UPDATE], 808000, 8841.676258992806
[UPDATE], 809000, 6583.919642857143
[UPDATE], 810000, 6638.178294573643
[UPDATE], 811000, 7492.861788617886
[UPDATE], 812000, 7666.695652173913
[UPDATE], 813000, 7100.743362831859
[UPDATE], 814000, 11747.91447368421
[UPDATE], 815000, 9871.96694214876
[UPDATE], 816000, 9479.72641509434
[UPDATE], 817000, 7212.563636363637
[UPDATE], 818000, 6855.576576576576
[UPDATE], 819000, 10741.347107438016
[UPDATE], 820000, 7849.3983050847455
[UPDATE], 821000, 8189.079646017699
[UPDATE], 822000, 6176.353982300885
