,W-0,R-0,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,
282184802121,1,2,1,1,1,1,1,1,1,1,1,
282185302121,1,2,1,1,1,1,1,1,1,1,1,
282186302121,1,2,1,1,1,1,1,1,1,1,1,
282186802121,1,2,1,1,1,1,1,1,1,1,1,
282187802121,1,2,2,2,2,2,2,2,2,2,1,
282188302121,1,2,1,1,1,1,1,1,1,1,1,
282188802121,1,2,1,1,1,1,1,1,1,1,1,
282189302121,1,2,1,1,1,1,1,1,1,1,1,
282190302121,1,2,1,1,1,1,1,1,1,1,1,
282190802121,1,2,1,1,1,1,1,1,1,1,1,
282191302121,1,2,1,1,1,1,1,1,1,1,1,
282191802121,1,2,1,1,1,1,1,1,1,1,1,
282194302121,1,2,2,1,1,1,1,1,1,1,1,
282194802121,1,2,1,1,1,1,1,1,1,1,1,
282196802121,1,1,1,1,1,1,1,1,1,1,1,
282199302121,1,2,1,1,1,1,1,1,1,1,1,
282202802121,1,2,1,1,1,1,1,1,1,1,1,
282203302121,1,2,1,1,1,1,1,1,1,1,1,
282204802121,1,2,2,2,1,1,1,1,1,1,1,
282205302121,1,2,2,1,1,1,1,1,1,1,1,
282205802121,1,2,2,1,1,1,1,1,1,1,1,
282207302121,1,2,2,1,1,1,1,1,1,1,1,
282207802121,1,2,1,1,1,1,1,1,1,1,1,
282208802121,1,2,1,1,1,1,1,1,1,1,1,
282209802121,1,2,1,1,1,1,1,1,1,1,1,
282210302121,1,2,2,2,2,2,1,1,1,1,1,
282210802121,1,2,1,1,1,1,1,1,1,1,1,
282211302121,1,2,2,1,1,1,1,1,1,1,1,
282212802121,1,2,2,1,1,1,1,1,1,1,1,
282213802121,1,2,1,1,1,1,1,1,1,1,1,
282214302121,1,2,1,1,1,1,1,1,1,1,1,
282215302121,1,2,2,1,1,1,1,1,1,1,1,
282216302121,1,2,1,1,1,1,1,1,1,1,1,
282216802121,1,2,1,1,1,1,1,1,1,1,1,
282217302121,1,2,1,1,1,1,1,1,1,1,1,
282220302121,1,2,2,1,1,1,1,1,1,1,1,
282221302121,1,2,1,1,1,1,1,1,1,1,1,
282222802121,1,2,2,2,1,1,1,1,1,1,1,
282223802121,1,2,2,1,1,1,1,1,1,1,1,
282224802121,1,2,2,2,1,1,1,1,1,1,1,
282226302121,1,2,2,1,1,1,1,1,1,1,1,
282226802121,1,2,2,2,2,1,1,1,1,1,1,
282227302121,1,2,1,1,1,1,1,1,1,1,1,
282229802121,1,2,2,1,1,1,1,1,1,1,1,
282230302121,1,2,1,1,1,1,1,1,1,1,1,
282231802121,1,2,2,1,1,1,1,1,1,1,1,
282232302121,1,2,1,1,1,1,1,1,1,1,1,
282232802121,1,2,2,2,2,1,1,1,1,1,1,
282234302121,1,2,2,1,1,1,1,1,1,1,1,
282234802121,1,2,1,1,1,1,1,1,1,1,1,
282235302121,1,2,1,1,1,1,1,1,1,1,1,
282236302121,1,2,1,1,1,1,1,1,1,1,1,
282239302121,1,2,2,1,1,1,1,1,1,1,1,
282239802121,1,2,1,1,1,1,1,1,1,1,1,
282240802121,1,2,2,1,1,1,1,1,1,1,1,
282241302121,1,2,1,1,1,1,1,1,1,1,1,
282242802121,1,2,2,2,1,1,1,1,1,1,1,
282243802121,1,2,1,1,1,1,1,1,1,1,1,
282245302121,1,2,2,2,1,1,1,1,1,1,1,
282245802121,1,2,2,1,1,1,1,1,1,1,1,
282246302121,1,2,2,1,1,1,1,1,1,1,1,
282248802121,1,2,2,1,1,1,1,1,1,1,1,
282249802121,1,2,1,1,1,1,1,1,1,1,1,
282250302121,1,2,1,1,1,1,1,1,1,1,1,
282251302121,1,2,1,1,1,1,1,1,1,1,1,
282254302121,1,2,2,1,1,1,1,1,1,1,1,
282254802121,1,2,1,1,1,1,1,1,1,1,1,
282255802121,1,2,1,1,1,1,1,1,1,1,1,
282257302121,1,1,1,1,1,1,1,1,1,1,1,
282259302121,1,2,1,1,1,1,1,1,1,1,1,
282259802121,1,2,2,1,1,1,1,1,1,1,1,
282261302121,1,2,1,1,1,1,1,1,1,1,1,
282262302121,1,2,1,1,1,1,1,1,1,1,1,
282262802121,1,2,1,1,1,1,1,1,1,1,1,
282263802121,1,2,2,1,1,1,1,1,1,1,1,
282265802121,1,2,2,1,1,1,1,1,1,1,1,
282266302121,1,2,1,1,1,1,1,1,1,1,1,
282267802121,1,2,2,2,2,2,2,2,2,2,2,
282268302121,1,2,1,1,1,1,1,1,1,1,1,
282269302121,1,2,1,1,1,1,1,1,1,1,1,
