,W-0,R-0,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,
280448835236,4355,103239,12004,27485,34912,43045,57325,66800,73859,94375,94860,
280449335236,3593,103265,12121,21370,32121,41130,51506,62436,81010,83968,92542,
280450335236,5465,116470,11267,33003,33821,45350,57578,63657,72716,83044,91497,
280451335236,3666,106499,15858,22478,34534,55757,57433,61571,72586,81037,91389,
280451835236,4616,112302,11915,22592,32359,48120,51953,61083,72543,81303,94437,
280452335236,4071,106889,11289,23472,31203,51712,52487,66712,80540,83982,95066,
280452835236,14859,111085,15731,22947,31133,43299,52034,61570,77237,81575,91924,
280453335236,5178,105960,14606,23123,37397,42438,55126,66463,73824,81247,91291,
280454835236,4690,115489,12297,23452,33813,42961,51081,61324,88031,89133,96927,
280455835236,3377,104875,11448,27487,34427,42402,53180,61467,81279,82633,92423,
280456335236,17883,111179,22285,27703,43328,48397,57013,64643,73250,86534,94145,
280458835236,6617,109064,11547,22018,32752,59209,61379,67708,73556,83471,93556,
280459835236,6636,109910,17085,21156,32871,51220,53864,64129,78425,82004,100407,
280461335236,74546,159104,174262,172453,174170,177282,174343,80923,81448,89121,102101,
280462335236,4633,103077,11350,22364,33835,41139,52389,61412,74168,81363,92445,
280462835236,4285,106130,20951,22116,31750,41307,51219,61999,71478,82885,96718,
280464335236,5042,103575,11410,21992,32862,43306,51580,74404,75583,96952,97624,
280466835236,5214,103495,11289,23102,37375,42424,52093,62620,73545,81308,98566,
280467335236,5492,105014,12713,27043,41382,42911,53927,61918,73924,89421,94232,
280467835236,27627,119478,120323,27154,39478,42864,53124,61813,71855,82591,91982,
280469335236,7032,105805,11407,27405,33336,43544,59995,61406,71225,82623,92216,
280469835236,4325,103624,11529,21745,32257,52354,53384,61868,73474,87173,97674,
280471835236,6538,105171,11582,24474,31400,40901,53409,66722,72212,82437,97038,
280472335236,3733,122623,13040,24973,31807,57517,57963,63551,71274,86018,92732,
280472835236,11336,104930,12809,22012,37943,43381,60646,66432,75906,82379,92949,
280473835236,5295,111169,26072,29618,32285,43172,51976,61661,71233,81983,91260,
280474835236,6515,103546,12281,22533,31285,41245,55051,61979,73825,82281,91226,
280475335236,3620,111620,17002,22517,33352,41337,52660,63610,76502,99094,99393,
280475835236,6965,110814,11497,21246,39064,50955,53367,61094,71196,82218,94083,
280476335236,9693,111270,16723,22316,32444,45078,50983,61703,73545,85236,95566,
280476835236,6105,104339,12571,28160,34626,55195,56271,61358,78760,81263,92903,
280477335236,4069,103123,16892,41609,40083,43805,52023,62233,74380,83478,91063,
280477835236,5516,106560,12063,22117,33153,42436,53501,63218,81097,87556,101444,
280479335236,5528,110011,13527,21341,32094,42414,53476,64869,74628,82847,100946,
280480835236,7933,104261,13675,23179,32518,41013,70644,70827,71905,82023,92003,
280482835236,6472,108492,13994,23202,31620,43189,51266,75713,76831,83082,93990,
280484335236,7370,105693,26064,27145,32004,41282,53012,61747,71897,81200,91188,
