,W-0,R-0,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,
282172302121,1,2,1,1,1,1,1,1,1,1,1,
282172802121,1,2,2,2,1,1,1,1,1,1,1,
282173302121,1,2,1,1,1,1,1,1,1,1,1,
282175302121,1,2,2,1,1,1,1,1,1,1,1,
282175802121,1,2,2,1,1,1,1,1,1,1,1,
282177302121,1,2,2,1,1,1,1,1,1,1,1,
282178302121,1,2,2,1,1,1,1,1,1,1,1,
282183802121,1,2,1,1,1,1,1,1,1,1,1,
282185802121,1,2,2,1,1,1,1,1,1,1,1,
282187302121,1,2,2,1,1,1,1,1,1,1,1,
282189802121,1,2,2,1,1,1,1,1,1,1,1,
282192302121,1,2,1,1,1,1,1,1,1,1,1,
282192802121,1,2,2,1,1,1,1,1,1,1,1,
282193302121,1,2,1,1,1,1,1,1,1,1,1,
282193802121,1,2,1,1,1,1,1,1,1,1,1,
282195302121,1,2,1,1,1,1,1,1,1,1,1,
282195802121,1,2,1,1,1,1,1,1,1,1,1,
282196302121,1,2,1,1,1,1,1,1,1,1,1,
282197302121,1,2,1,1,1,1,1,1,1,1,1,
282197802121,1,2,1,1,1,1,1,1,1,1,1,
282198302121,1,2,1,1,1,1,1,1,1,1,1,
282198802121,1,2,2,1,1,1,1,1,1,1,1,
282199802121,1,2,1,1,1,1,1,1,1,1,1,
282200302121,1,2,1,1,1,1,1,1,1,1,1,
282200802121,1,2,2,1,1,1,1,1,1,1,1,
282201302121,1,2,1,1,1,1,1,1,1,1,1,
282201802121,1,2,2,1,1,1,1,1,1,1,1,
282202302121,1,2,1,1,1,1,1,1,1,1,1,
282203802121,1,2,1,1,1,1,1,1,1,1,1,
282204302121,1,2,1,1,1,1,1,1,1,1,1,
282206302121,1,2,2,1,1,1,1,1,1,1,1,
282206802121,1,2,1,1,1,1,1,1,1,1,1,
282208302121,1,2,2,1,1,1,1,1,1,1,1,
282209302121,1,2,1,1,1,1,1,1,1,1,1,
282211802121,1,2,1,1,1,1,1,1,1,1,1,
282212302121,1,2,1,1,1,1,1,1,1,1,1,
282213302121,1,2,1,1,1,1,1,1,1,1,1,
282214802121,1,2,2,1,1,1,1,1,1,1,1,
282215802121,1,2,2,1,1,1,1,1,1,1,1,
282217802121,1,2,2,2,2,2,1,1,1,1,1,
282218302121,1,2,1,1,1,1,1,1,1,1,1,
282218802121,1,2,1,1,1,1,1,1,1,1,1,
282219302121,1,2,2,1,1,1,1,1,1,1,1,
282219802121,1,2,1,1,1,1,1,1,1,1,1,
282220802121,1,2,1,1,1,1,1,1,1,1,1,
